รหัสสถานี,ชื่อผู้ได้รับใบอนุญาต,ชื่อสถานี,ความถี่,ประเภทบริการ/กิจการ,สถานะใบอนุญาต ปี 2567 (eBcs),อำเภอ,จังหวัด,ละติจูด,ลองจิจูด,ตรวจสอบมาตรฐาน 2566 ,ตรวจสอบมาตรฐาน 2567 ,ตรวจการแพร่แปลกปลอม ,ยื่นคำขอ 10/1/68   ,หมายเหตุ
05520210,ห้างหุ้นส่วนจำกัด สตูดิโอเฮาส์พิมาย,เมืองพิมาย เรดิโอ สเตชั่น,103.0,บริการธุรกิจ,ได้รับอนุญาต,พิมาย,นครราชสีมา,15.212243,102.483543,,ตรงตามมาตรฐาน,ตรวจปี 2567 แล้ว,2567-12-25 00:00:00,
05520072,ห้างหุ้นส่วนจำกัด ดีดี เรดิโอ,ดีดีเรดิโอ (คนสีคิ้ว),103.0,บริการธุรกิจ,ได้รับอนุญาต,สีคิ้ว,นครราชสีมา,14.885826,101.731786,,ตรงตามมาตรฐาน,ตรวจปี 2567 แล้ว,2567-12-07 00:00:00,
05520255,มูลนิธิเสียงธรรมเพื่อประชาชน ในพระอุปถัมภ์ สมเด็จพระเจ้าน้องนางเธอ เจ้าฟ้าจุฬาภรณวลัยลักษณ์ อัครราชกุมารี กรมพระศรีสวางควัฒน วรขัตติยราชนารี,เสียงธรรมเพื่อประชาชนฯ วัดป่าภูผาสูง,103.25,บริการสาธารณะ,ได้รับอนุญาต,สูงเนิน,นครราชสีมา,14.686554,101.695203,,,ยังไม่ตรวจ,2567-11-28 00:00:00,
05520254,มูลนิธิเสียงธรรมเพื่อประชาชน ในพระอุปถัมภ์ สมเด็จพระเจ้าน้องนางเธอ เจ้าฟ้าจุฬาภรณวลัยลักษณ์ อัครราชกุมารี กรมพระศรีสวางควัฒน วรขัตติยราชนารี,เสียงธรรมเพื่อประชาชน วัดป่าพิมาย,103.25,บริการสาธารณะ,ได้รับอนุญาต,พิมาย,นครราชสีมา,15.215878,102.519555,,ตรงตามมาตรฐาน,ตรวจปี 2567 แล้ว,2567-11-28 00:00:00,
05520256,มูลนิธิเสียงธรรมเพื่อประชาชน ในพระอุปถัมภ์ สมเด็จพระเจ้าน้องนางเธอ เจ้าฟ้าจุฬาภรณวลัยลักษณ์ อัครราชกุมารี กรมพระศรีสวางควัฒน วรขัตติยราชนารี,เสียงธรรมเพื่อประชาชนฯ วัดป่าเสาหงษ์,103.25,บริการสาธารณะ,ได้รับอนุญาต,เมืองนครราชสีมา,นครราชสีมา,14.912661,101.984645,ตรงตามมาตรฐาน,,ตรวจปี 2567 แล้ว,2567-11-28 00:00:00,
05520009,บริษัท พีเพิล ไทม์ พับลิชชิ่ง จำกัด,WORK FM,103.5,บริการธุรกิจ,ได้รับอนุญาต,เมืองนครราชสีมา,นครราชสีมา,14.978091,102.081756,ตรงตามมาตรฐาน,ตรงตามมาตรฐาน,ตรวจปี 2567 แล้ว,2567-12-13 00:00:00,
05520247,ห้างหุ้นส่วนจำกัด ชัยอมรนุกูล,สีดา,103.5,บริการธุรกิจ,ได้รับอนุญาต,สีดา,นครราชสีมา,15.546377,102.548384,ตรงตามมาตรฐาน,,ตรวจปี 2567 แล้ว,2567-12-09 00:00:00,
05520089,โรงเรียนรุ่งอรุณวิทยา,ความรักและสันติ,103.75,บริการสาธารณะ,ยกเลิก,ปากช่อง,นครราชสีมา,14.705702,101.416659,,,,,ยกเลิกการประกอบกิจการ มติ 29/2565 26 ต.ค. 2565
05520182,ห้างหุ้นส่วนจำกัด ณัชชาโปรโมชั่น,สไมล์ เอฟเอ็ม,103.75,บริการธุรกิจ,ได้รับอนุญาต,เสิงสาง,นครราชสีมา,14.410744,102.444783,,ตรงตามมาตรฐาน,ตรวจปี 2567 แล้ว,2567-12-09 00:00:00,
05520235,สมาคมสื่อสารมวลชนสัมพันธ์จักรชัยเพื่อความมั่นคง,วิทยุคนเมืองด่าน,103.75,บริการสาธารณะ,ได้รับอนุญาต,ด่านขุนทด,นครราชสีมา,15.203829,101.764182,,ตรงตามมาตรฐาน,ตรวจปี 2567 แล้ว,2567-11-05 00:00:00,
